식별,,,분류,,보험 기간,가입조건,,,,,검수,,
21,환경쏘옥NHe독감케어보험(무배당),NH농협생명,신체·질환,"독감, 환경성 질환",365,19,64,all,"보험료 한 번만 납입하면 독감, 환경성 질환 보장이 쏘~옥",https://www.nhelife.co.kr/ni/ig/NIIG0014M00.nhl?prodDtlCd=2,,,
22,검진쏘옥NHe용종진단보험(무배당),NH농협생명,건강·진단,"내시경, 건강검진",365,19,70,all,보험료 한 번만 내면 용종 걱정 끝! 3대기관 용종 진단 시 5만원 지급!,https://www.nhelife.co.kr/ni/ig/NIIG0013M00.nhl,,,
23,ESG쏘옥NHe대중교통보험(무배당),NH농협생명,교통·이동,"대중교통, 교통사고, 버스, 지하철, 택시, 비행기",365,19,60,all,교통사고 위험에서 당신을 지켜주는 신호등 버스요금보다 저렴한 대중교통보험,https://www.nhelife.co.kr/ni/ig/NIIG0011M00.nhl,,,
,운동쏘옥NHe부상케어보험(무배당),NH농협생명,레저·스포츠,"운동, 부상, 깁스, 골절, 응급실",365,19,60,all,부상 걱정 끝. 운동 집중 시작! 운동하는 당신을 위한 부상케어 패키지,https://www.nhelife.co.kr/ni/ig/NIIG0016M00.nhl,,,
24,면역쏘옥NHe통풍대상포진보험(무배당),NH농협생명,신체·질환,"통풍, 대상포진",365,19,60,all,"보험료 한 번만 납입하면 통풍,대상포진 보장이 한 번에 쏘옥!",https://www.nhelife.co.kr/ni/ig/NIIG0015M00.nhl,,,
25,신한SOL독감보험 mini(무배당),신한라이프,신체·질환,"독감, 환경성 질환","1,825",19,70,all,"지긋지긋한 환절기 불청객, 독감 보험으로 안심. 환절기, 독감 준비 되셨나요? 환절기마다 찾아오는 독감, 환경성 질환도 대비할 수 있어요",https://www.shinhanlife.co.kr/di/cdipaa0010.do,,,
26,신한SOL다치면속상해보험 mini (무배당),신한라이프,신체·질환,"일상재해, 골절, 수술, 입원, 상해",365,19,60,all,"야외활동 준비중인가요? 예상치 못한 부상에도, 마음편히 치료 받을 수 있을까? 운동, 여행, 일상생활 중 다치면 골절, 수술, 입원 보장이 가능해요",https://www.shinhanlife.co.kr/di/cdipaa0010.do,,,
27,신한SOL상처솔솔보험 mini (무배당)(일반보장형),신한라이프,신체·질환,"일상생활, 상처",365,19,60,all,"집에서도 밖에서도 상처 솔솔 케어. 일상 속 작은 상처도 챙기셨나요? 작은 상처도 병원비는 부담되니까. 일상생활, 야외활동 중 다친 상처의 꿰맴 치료 보장이 가능해요",https://www.shinhanlife.co.kr/di/cdipaa0010.do,,,
28,신한SOL상처솔솔보험 mini (무배당)(자녀보장형),신한라이프,신체·질환,"일상생활, 상처, 아이",365,0,13,all,"소중한 우리아이, 상처 하나도 놓치지 않는 든든한 보장. 우리 아이, 작은 상처도 챙기셨나요? 넘어지고 다치더라도 씩씩하게 키우고 싶으니까 일상생활, 야외활동 중 다친 상처의 꿰맴 치료 보장이 가능해요",https://www.shinhanlife.co.kr/di/cdipaa0010.do,,,
29,신한SOL여성수술보험 mini(무배당),신한라이프,여성특화,"여성질환, 수술, 여성건강","1,095",19,55,female,"만 19세부터 55세까지, 여성만을 위한 안심 플랜. 여성이라면 한 번쯤 겪는 21가지 질병들, 자주 발생해도 반복해서 보장 받을 수 있어요",https://www.shinhanlife.co.kr/di/cdipaa0010.do,,,
30,신한SOL스쿨존보험 mini(무배당),신한라이프,교통·이동,"교통사고, 아이, 등하굣길","1,095",0,10,all,우리 아이 하루를 지키는 스쿨존 전용 보험. 아이의 등하굣길 안심할 수 있나요? 지금이 스쿨존 보험 가입할 때. ,https://www.shinhanlife.co.kr/di/cdipaa0010.do,,,
31,신한SOL3대폴립보험 mini(무배당),신한라이프,건강·진단,"폴립 제거, 내시경 검사",365,20,60,all,"건강검진보다 먼저 준비할, 나를 위한 보험. 건강검진만으로 충분할까요? 지금이 폴립보험 가입할 때",https://www.shinhanlife.co.kr/di/cdipaa0010.do,,,
32,신한SOL대중교통보험 mini(무배당),신한라이프,교통·이동,"대중교통, 교통사고, 버스, 지하철, 택시, 비행기, 여객선","1,095",19,75,all,"매일타는 대중교통, 365일 안심! 출퇴근길, 예기치 못한 사고에도 안심할 수 있을까? 매일 타든, 가끔 타든 대비는 필요해요",https://www.shinhanlife.co.kr/di/cdipaa0010.do,,,
33,CREW 골프보험 (1회권),롯데손해보험,레저·스포츠,"골프, 홀인원, 라운딩, 운전자, 골절, 배상책임",1,19,79,all,"골프 치다 실수로 남의 물건을 파손 시키거나 다치게 했을때 최대 2,000만원
나이스 홀인원 뒤풀이도 나이스 돈 쓴 만큼 돌려 받자! 최대 200만원
안전과 안심까지, 선물 가능한 골프보험",https://alice.lotteins.co.kr/product/golf/main,,,
34,제주갈땐,롯데손해보험,여행,"제주여행, 국내여행, 항공기결항, 숙박비, 홀인원, 배상책임, 골절, 깁스, 식중독, 동반가입",7,19,79,all,"N회차 제주 여행이여도 방심할 수 없다
제주여행을 간다면?
항공기 결항으로 체류 시 축박비용 보장 최대 10만원 보장
기분 좋게 골프 치다 홀인원으로 돈 나갈 일 없도록 홀인원 축하비용 최대 100만원 보장
설레는 제주여행 좋은 추억만 있을까? 호캉스 즈릭던 중 실수로 호텔 기물을 파손시켰을 때 국내 여행 중 배상책임 최대 500만원 보장
인생샷 찍는다고 무리하게 포즈 잡다 다쳤을 때 골절 진단 시 30만원 보장 깁스 치료 시 30만원 보장
갓 잡은 해산물 취식 후 식중독에 걸렸을 때 식중독으로 입원 시 하루 10만원 보장
가족, 친구와 함께라면 최대 9명까지 간편하게 동반 가입 가능!",https://alice.lotteins.co.kr/product/domestic/main,,,
35,덕밍아웃상해보험,롯데손해보험,이색·일상,"덕질, 팬덤, 콘서트, 페스티벌, 공연, 굿즈거래, 중고거래사기, 골절, 깁스, 선물하기",365,14,70,all,"덕밍아웃. 어짜피 덕질할 거 행복하게 덕질하자
오늘도 평화로운 덕질생활, 빌런은 접근금지!
최대 굿즈 거래하다 기분 상하지 않도록! 인터넷 직거래 사기 피해 보상
도파민 폭발 콘서트, 페스티벌 끝까지 즐길 수 있게 인파에 휩쓸려 부상을 당해도
휴덕은 있어도 탈덕은 없으니까!
덕질에 진심인 친구, 엄마 모두에게!
행복한 덕질을 위해 선물도 가능",https://alice.lotteins.co.kr/product/fandom/main,,,
36,CREW 캠핑차박보험,롯데손해보험,레저·스포츠,"캠핑, 차박, 한달살기, 화재, 가스사고, 물리적충격, 가족단체가입, 자녀안전",365,19,59,all,"캠핑차박. 고수캠퍼에게도 보험은 필요하다
세상에 안전한 캠핑은 없다
자녀와 함께하는 캠핑 사고 대책은 필수!
여행의 결에 맞는 플랜 구성 캠핑, 차박부터 한 달 살기까지
가족의 이름, 주민번호 입력 없이 쉽고편하게 가족 단체 가입",https://alice.lotteins.co.kr/product/trip/main,,,
37,불효자보험,롯데손해보험,생활,"부모님, 보이스피싱, 스미싱, 파밍, 메모리해킹, 금융사기, 5대골절, 화상, 자동차사고, 강력범죄, 무릎수술, 어깨수술, 손목수술, 고관절, 선물하기, 시니어",365,19,50,all,"불효자여도, 부모님은 빌런에게서 지켜야하니까지켜야하니까
우리 부모님도 예외일 수 없다!
보이스피싱, 스미싱 등 전자통신금융사기에 해당할 경우 최대 보장 금액 100만원 (자기 부담금 10만원 발생)
은퇴 후에도 손주들 돌보느라, 고생하시는 부모님! 상해로 인한 5대 골절 또는 수술 진행 시 각 50만원 지급, 상해로 인한 무릎, 어깨, 손목 수술 진행 시 각 30만원 지급
부모님이 이미 가입한 보험이 있다면? 기존 가입한 보험과 중복 지급 가능!
우리 부모님은 물론, 배우자의 부모님도 가입 가능
부모님 중 2인 이상 가입 시 보험료 10% 할인",https://alice.lotteins.co.kr/product/unfilial/main,,,
38,DRIVE 원데이자동차보험,롯데손해보험,교통·이동,"타인차량운전, 렌터카, 대인배상, 대물배상, 자기신체사고, 타인자동차손해, 단기운전, 대여차량",10,24,54,all,"엄빠차 빌려타다 사고 났을 때 수습하는 법
엄빠차 빌려타다 사고나도 내 연인 앞에서는 끝까지 완벽해야 하니까 남의 차 운전 중 운전 미숙으로 도로 위 차량을 충격했을 때 최대 3억원
운전 미숙으로 다른 사람을 다치게 했을 때 무한
교통사고로 입원 시, 발생한 병원 치료비와 일 못해서 생긴 손해도 보장 최대 3000만원
보험 기간 중 사고가 발생해도 차주의 보험료는 오르지 않아 지갑 사수 가능
필요한 순간 바로, 즉시 가입 가능!
미리 예약 가입도 가능!
자가용, 렌터카 모두 가입 가능",https://alice.lotteins.co.kr/product/oneday/main,,,
39,CREW 해외여행보험,롯데손해보험,여행,"해외여행, 실손의료비, 질병사망, 휴우장해, 배상책임, 휴대품손해, 구조송환, 항공기납치 ,중간사고, 여권분실, 항공기지연, 수하물지연, 식중독, 전염병",90,0,79,all,"모든 여행은 끝까지 완벽해야 한다.
모든 여행에는 불확실정이 존재한다
미리 가입을 못해도 비행기에 탑승하지 않았다면 가입 가능 같이 여행가는 친구, 가족 동반 할인 최대 10%
여행 중 카메라가 부서져도 걱정말것
의도치 않은 실수로 호텔기물 파손 시 배상책임 담보",https://alice.lotteins.co.kr/product/ovrs/main#none,,,
